Site_Number,Longitude,Latitude
1141A,121.4,31.238
1142A,121.478,31.2036
1143A,121.467,31.3008
1144A,121.412,31.1654
1145A,121.536,31.2659
1146A,120.978,31.0935
1147A,121.425,31.2261
1148A,121.703,31.1907
1149A,121.533,31.2284
1150A,121.577,31.2071
1151A,118.803,32.1083
1152A,118.749,32.0572
1153A,118.778,32.0723
1154A,118.777,32.0144
1155A,118.803,32.0314
1156A,118.795,32.0775
1157A,118.626,32.0878
1158A,118.737,32.0092
1159A,118.907,32.105
1223A,120.211,30.21
1224A,120.063,30.2747
1225A,119.026,29.635
1226A,120.348,30.3058
1227A,120.127,30.2456
1228A,120.19,30.2692
1229A,120.157,30.2897
1230A,120.12,30.3119
1231A,120.301,30.4183
1232A,120.27,30.1819
1233A,120.088,30.1808
